State/UT,Year, Geographical Area,Total Forest Cover Area,Very Dense,Moderately Dense,Open Forest, Scrub Land,Mangrove
Nagaland,2009,16579.0,13464.0,1274.0,4897.0,7293.0,,0.0
Odisha,2009,155707.0,48855.0,7073.0,21394.0,20388.0,,221.0
Punjab,2009,50362.0,1664.0,0.0,733.0,931.0,,0.0
Rajasthan,2009,342239.0,16036.0,72.0,4450.0,11514.0,,0.0
Sikkim,2009,7096.0,3359.0,500.0,2161.0,698.0,,0.0
Tamil Nadu,2009,130058.0,23551.0,2926.0,10343.0,10282.0,,39.0
Tripura,2009,10486.0,7985.0,109.0,4702.0,3174.0,,0.0
Uttar Pradesh,2009,240928.0,87710.0,1626.0,4563.0,81521.0,,0.0
Uttarakhand,2009,53483.0,74609.0,4762.0,14165.0,55682.0,,0.0
West Bengal,2009,88752.0,12994.0,2987.0,4644.0,5363.0,,2152.0
Andaman and Nicobar Islands,2009,8249.0,6662.0,3762.0,2405.0,495.0,,615.0
Chandigarh,2009,114.0,17.0,1.0,10.0,6.0,,0.0
Dadra & Nagar Haveli,2009,491.0,211.0,0.0,114.0,97.0,,0.0
Daman & Diu,2009,112.0,5.65,0.0,0.62,5.03,,1.0
Lakshadweep,2009,32.0,26.48,0.0,16.71,9.77,,0.0
Puducherry,2009,480.0,49.97,0.0,34.1,15.87,,1.0
India,2007,3287263.0,690899.0,83510.0,319012.0,288732.0,41525.0,4639.0
Andhra Pradesh,2007,275069.0,45102.0,820.0,24757.0,19525.0,10372.0,353.0
Arunachal Pradesh,2007,83743.0,67353.0,20858.0,31556.0,14939.0,111.0,0.0
Assam,2007,78438.0,27692.0,1461.0,11558.0,14673.0,179.0,0.0
Bihar,2007,94163.0,6804.0,231.0,3248.0,3325.0,134.0,0.0
Chattisgarh,2007,135191.0,55870.0,4162.0,35038.0,16670.0,107.0,0.0
Delhi,2007,1483.0,177.0,7.0,50.0,120.0,1.0,0.0
Goa,2007,3702.0,2151.0,511.0,624.0,1016.0,1.0,17.0
Gujarat,2007,196022.0,14620.0,376.0,5249.0,8995.0,1463.0,1046.0
Haryana,2007,44212.0,1594.0,27.0,463.0,1104.0,145.0,0.0
Himachal Pradesh,2007,55673.0,14668.0,3224.0,6383.0,5061.0,327.0,0.0
Jammu & Kashmir,2007,222236.0,22686.0,4298.0,8977.0,9411.0,2036.0,0.0
Jharkhand,2007,79714.0,22894.0,2590.0,9899.0,10405.0,683.0,0.0
Karnataka,2007,191791.0,36190.0,1777.0,20181.0,14232.0,3176.0,3.0
Kerala,2007,38863.0,17324.0,1443.0,9410.0,6471.0,58.0,5.0
Madhya Pradesh,2007,308245.0,77700.0,6647.0,35007.0,36401.0,6401.0,0.0
Maharashtra,2007,307713.0,50650.0,8739.0,20834.0,21077.0,4157.0,186.0
Manipur,2007,22327.0,17280.0,701.0,5474.0,11105.0,1.0,0.0
Meghalaya,2007,22429.0,17321.0,410.0,9501.0,7410.0,211.0,0.0
Mizoram,2007,21081.0,19240.0,134.0,6251.0,12855.0,1.0,0.0
Nagaland,2007,16579.0,13464.0,1274.0,4897.0,7293.0,2.0,0.0
Odisha,2007,155707.0,48855.0,7073.0,21394.0,20388.0,4852.0,221.0
Punjab,2007,50362.0,1664.0,0.0,733.0,931.0,20.0,0.0
Rajasthan,2007,342239.0,16036.0,72.0,4450.0,11514.0,4347.0,0.0
Sikkim,2007,7096.0,3357.0,500.0,2161.0,696.0,356.0,0.0
Tamil Nadu,2007,130058.0,23338.0,2926.0,10216.0,10196.0,1206.0,39.0
Tripura,2007,10486.0,8073.0,111.0,4770.0,3192.0,75.0,0.0
Uttar Pradesh,2007,240928.0,14341.0,1626.0,4563.0,8152.0,745.0,0.0
Uttarakhand,2007,53483.0,24495.0,4762.0,14165.0,5568.0,271.0,0.0
West Bengal,2007,88752.0,12994.0,2987.0,4644.0,5363.0,29.0,2152.0
Andaman and Nicobar Islands,2007,8249.0,6662.0,3762.0,2405.0,495.0,53.0,615.0
Chandigarh,2007,114.0,17.0,1.0,10.0,6.0,1.0,0.0
Dadra & Nagar Haveli,2007,491.0,211.0,0.0,114.0,97.0,1.0,0.0
Daman & Diu,2007,112.0,6.0,0.0,1.0,5.0,3.0,1.0
Lakshadweep,2007,32.0,26.0,0.0,16.0,10.0,0.0,0.0
Puducherry,2007,480.0,44.0,0.0,13.0,31.0,0.0,1.0
India,2005,3287263.0,677088.0,54569.0,332647.0,289872.0,38475.0,4445.0
Andhra Pradesh,2005,275069.0,44372.0,130.0,24199.0,20043.0,9862.0,329.0
Arunachal Pradesh,2005,83743.0,67777.0,14411.0,37977.0,15389.0,128.0,0.0
Assam,2005,78438.0,27645.0,1444.0,11387.0,14814.0,146.0,0.0
Bihar,2005,94163.0,5579.0,110.0,3004.0,2465.0,129.0,0.0
Chattisgarh,2005,135191.0,55863.0,2256.0,36472.0,17135.0,91.0,0.0
Delhi,2005,1483.0,176.0,0.0,54.0,122.0,0.62,0.0
Goa,2005,3702.0,2164.0,55.0,1095.0,1014.0,2.0,16.0
Gujarat,2005,196022.0,14715.0,114.0,6024.0,8577.0,1495.0,936.0
Haryana,2005,44212.0,1587.0,3.0,523.0,1061.0,165.0,0.0
Himachal Pradesh,2005,55673.0,14369.0,1097.0,7831.0,5441.0,383.0,0.0
Jammu & Kashmir,2005,22236.0,21273.0,2135.0,8394.0,10744.0,2821.0,0.0
Jharkhand,2005,79714.0,22591.0,2544.0,9078.0,10969.0,733.0,0.0
Karnataka,2005,191791.0,35251.0,464.0,21634.0,13153.0,3151.0,3.0
Kerala,2005,38863.0,15595.0,1024.0,8636.0,5935.0,70.0,8.0
Madhya Pradesh,2005,308245.0,76013.0,4239.0,36843.0,34931.0,2172.0,0.0
Maharashtra,2005,307713.0,47476.0,8191.0,20193.0,19092.0,4248.0,158.0
Manipur,2005,22327.0,17086.0,923.0,5541.0,10622.0,39.0,0.0
Meghalaya,2005,22429.0,16988.0,338.0,6808.0,9842.0,181.0,0.0
Mizoram,2005,21081.0,18684.0,133.0,6173.0,12378.0,0.0,0.0
Nagaland,2005,16579.0,13719.0,236.0,5602.0,7881.0,13.0,0.0
Odisha,2005,155707.0,48374.0,538.0,27656.0,20180.0,4743.0,203.0
Punjab,2005,50362.0,1558.0,0.0,723.0,835.0,15.0,0.0
Rajasthan,2005,342239.0,15850.0,14.0,4456.0,11380.0,4527.0,0.0
Sikkim,2005,7096.0,3262.0,498.0,1912.0,852.0,363.0,0.0
Tamil Nadu,2005,130058.0,23044.0,2650.0,9790.0,10604.0,1808.0,35.0
Tripura,2005,10486.0,8155.0,61.0,4969.0,3125.0,59.0,0.0
Uttar Pradesh,2005,240928.0,14127.0,1297.0,4682.0,8148.0,738.0,0.0
Uttarakhand,2005,53483.0,24442.0,4002.0,14396.0,6044.0,320.0,0.0
West Bengal,2005,88752.0,12413.0,2302.0,3777.0,6334.0,68.0,2118.0
